title,author,publish_date,link,images
Gillmor Gang: Paying Attention,Steve Gillmor,"Sat, 03 Mar 2018 18:00:37 +0000",https://techcrunch.com/2018/03/03/gillmor-gang-pay-attention/?ncid=rss,
"Front-door tech is hot, and it’s not just Amazon who wants in",Joanna Glasner,"Sat, 03 Mar 2018 18:00:02 +0000",https://techcrunch.com/2018/03/03/front-door-tech-is-hot-and-its-not-just-amazon-who-wants-in/?ncid=rss,
No one wants to build a “feel good” internet,Danny Crichton,"Sat, 03 Mar 2018 17:06:23 +0000",https://techcrunch.com/2018/03/03/no-one-wants-to-build-a-feel-good-internet/?ncid=rss,
Come to TechCrunch’s party and SXSW panels,Josh Constine,"Fri, 02 Mar 2018 21:32:31 +0000",https://techcrunch.com/2018/03/02/2018-party-and-sxsw-panels/?ncid=rss,
Air’s app lets you record high-quality home movies without running out of space,Sarah Perez,"Fri, 02 Mar 2018 21:30:57 +0000",https://techcrunch.com/2018/03/02/air-lets-you-record-high-quality-home-movies-without-running-out-of-space/?ncid=rss,
Blockchain will work in trucking — but only if these three things happen,Jonathan Salama,"Fri, 02 Mar 2018 21:00:39 +0000",https://techcrunch.com/2018/03/02/blockchain-will-work-in-trucking-but-only-if-these-three-things-happen/?ncid=rss,
These robotic skiers hit the slopes in style,John Biggs,"Fri, 02 Mar 2018 20:12:24 +0000",https://techcrunch.com/2018/03/02/these-electronic-skiers-hit-the-slopes-in-style/?ncid=rss,
UiPath raising around $120M at $1B+ valuation for its ‘software robots’ for internal business tasks,"Ingrid Lunden,Steve O&#039;Hear","Fri, 02 Mar 2018 20:03:25 +0000",https://techcrunch.com/2018/03/02/uipath-rpa/?ncid=rss,
Amazon Prime Video will now slake your thirst for bad but great reality TV,Darrell Etherington,"Fri, 02 Mar 2018 19:54:58 +0000",https://techcrunch.com/2018/03/02/amazon-prime-video-will-now-slake-your-thirst-for-bad-but-great-reality-tv/?ncid=rss,
Another small business complains of counterfeiters on Amazon,Devin Coldewey,"Fri, 02 Mar 2018 19:46:49 +0000",https://techcrunch.com/2018/03/02/another-small-business-complains-of-counterfeiters-on-amazon/?ncid=rss,
FCC Commissioner Mignon Clyburn reiterates need to fight for open internet,Megan Rose Dickey,"Fri, 02 Mar 2018 19:20:36 +0000",https://techcrunch.com/2018/03/02/fcc-commissioner-mignon-clyburn-reiterates-need-to-fight-for-open-internet/?ncid=rss,
Micropodcasting? Facebook tries Voice Clip status updates,Josh Constine,"Fri, 02 Mar 2018 18:53:10 +0000",https://techcrunch.com/2018/03/02/facebook-voice-clip-status/?ncid=rss,
Fret Zealot adds lights and learning to your guitar,John Biggs,"Fri, 02 Mar 2018 18:22:48 +0000",https://techcrunch.com/2018/03/02/fret-zealot-adds-lights-and-learning-to-your-guitar/?ncid=rss,
Galaxy S9’s display takes honors alongside its camera,Devin Coldewey,"Fri, 02 Mar 2018 18:02:58 +0000",https://techcrunch.com/2018/03/02/galaxy-s9s-display-takes-honors-alongside-its-camera/?ncid=rss,
Voice shopping estimated to hit $40 billion across U.S. and U.K. by 2022,Sarah Perez,"Fri, 02 Mar 2018 18:01:02 +0000",https://techcrunch.com/2018/03/02/voice-shopping-estimated-to-hit-40-billion-across-u-s-and-u-k-by-2022/?ncid=rss,
Citi wants fintech startups to disrupt institutional banking,Natasha Lomas,"Fri, 02 Mar 2018 17:57:29 +0000",https://techcrunch.com/2018/03/02/citi-wants-fintech-startups-to-disrupt-institutional-banking/?ncid=rss,
Alexa has literally lost her voice as users report outages and unresponsiveness,Fitz Tepper,"Fri, 02 Mar 2018 17:15:10 +0000",https://techcrunch.com/2018/03/02/alexa-has-literally-lost-her-voice-as-users-report-outages-and-unresponsiveness/?ncid=rss,
"Twitter is now specifically focusing on increasing black, Latinx and female representation",Megan Rose Dickey,"Fri, 02 Mar 2018 17:00:20 +0000",https://techcrunch.com/2018/03/02/twitter-is-now-specifically-focusing-on-increasing-black-latinx-and-female-representation/?ncid=rss,
Facebook’s wider Kremlin Brexit ad sweep draws a blank,Natasha Lomas,"Fri, 02 Mar 2018 16:43:40 +0000",https://techcrunch.com/2018/03/02/facebooks-wider-kremlin-brexit-ad-sweep-draws-a-blank/?ncid=rss,
"Despite Uber debacle, HackerOne’s CEO argues why every company should work with hackers",Connie Loizos,"Fri, 02 Mar 2018 16:00:20 +0000",https://techcrunch.com/2018/03/02/hackerone-ceo-marten-mickos-insists-that-uber-debacle-aside-all-companies-should-work-with-hackers/?ncid=rss,
